Client_ID,Company_Name,Sector,Region,Employees,Monthly_Payout,Transactions,Month,Year
1001,Al Noor Contracting,Construction,Dubai,450,600000,450,Jan,2024
1002,SpeedLog LLC,Logistics,Abu Dhabi,120,200000,120,Jan,2024
1003,Bright Retailers,Retail,Sharjah,75,95000,75,Jan,2024
1004,Emirate Builders,Construction,Ajman,320,410000,320,Jan,2024
1005,BlueWave Services,Services,Dubai,95,120000,95,Jan,2024
1006,Gulf Distributors,Wholesale,Dubai,180,240000,180,Jan,2024
1007,Fast Movers Cargo,Logistics,Abu Dhabi,60,89000,60,Jan,2024
1008,StyleMart Apparel,Retail,Sharjah,150,160000,150,Jan,2024
1009,Star Cleaning Co.,Services,Ajman,45,54000,45,Jan,2024
1010,Smart Tech Systems,IT,Dubai,200,350000,200,Jan,2024
1011,Desert Foods LLC,Food Production,Abu Dhabi,300,450000,300,Jan,2024
1012,Silver Transport,Logistics,Dubai,210,280000,210,Jan,2024
1013,Metro Electrics,Construction,Sharjah,400,550000,400,Jan,2024
1014,CarePlus Health,Healthcare,Abu Dhabi,175,290000,175,Jan,2024
1015,Oceanic Retail,Retail,Dubai,90,105000,90,Jan,2024
1016,Elite Builders,Construction,Abu Dhabi,280,380000,280,Jan,2024
1017,Perfect Laundry,Services,Sharjah,50,64000,50,Jan,2024
1018,NextGen IT Solutions,IT,Ajman,130,220000,130,Jan,2024
1019,Desert Logistics,Logistics,Dubai,400,520000,400,Jan,2024
1020,City Mart Stores,Retail,Ajman,160,175000,160,Jan,2024
